"net_tfa","age","inc","fsize","educ","db","marr","twoearn","e401","p401","pira","hown"
14499,41,56190,3,18,1,1,1,1,1,0,1
-583,32,16320,3,11,0,1,0,0,0,0,0
24566,38,47316,4,12,0,1,1,1,1,1,1
330,54,53475,2,12,0,1,1,0,0,0,1
-3978,29,32244,1,14,0,0,0,1,1,0,0
-42964,43,23412,1,16,1,0,0,1,1,0,0
18973,37,20616,5,16,0,1,1,0,0,0,1
15123,38,42561,9,12,0,1,0,1,1,1,1
-12500,47,17988,5,11,0,1,1,0,0,0,1
12650,41,64245,4,12,1,1,1,1,0,1,1
22000,41,35061,3,12,0,1,1,0,0,0,0
11509,29,44805,3,14,0,1,1,1,1,1,1
550,32,36945,4,14,0,1,0,0,0,0,0
-20700,41,38973,3,13,0,0,0,1,1,0,1
-11179,46,6900,1,6,0,0,0,0,0,0,0
29999,41,24558,4,16,0,1,0,1,1,0,1
11987,29,43533,2,15,0,1,1,1,1,0,0
500,55,21552,8,11,0,1,1,0,0,0,1
9000,35,22521,2,12,0,0,0,1,1,1,1
200,46,19440,4,12,0,0,0,0,0,0,1
-1889,48,41007,2,12,1,1,1,0,0,0,1
45650,42,52758,5,12,1,1,1,1,1,0,1
0,37,10800,7,4,0,1,0,0,0,0,0
13180,31,50676,4,12,0,1,1,1,1,0,1
-3000,50,19920,5,12,0,1,1,0,0,0,1
300,61,12885,2,8,0,0,0,0,0,0,1
-600,60,7650,2,3,0,0,0,0,0,0,0
-800,53,26622,3,10,1,1,1,0,0,0,1
28700,36,55152,4,12,0,1,1,0,0,1,1
71438,57,100026,4,12,0,1,0,1,1,1,1
-8400,33,31392,3,12,0,1,1,0,0,0,0
320,55,7650,1,10,1,0,0,1,1,0,0
2400,61,4146,1,12,0,0,0,0,0,0,0
8649,36,65505,4,17,1,1,1,0,0,0,1
0,38,92253,3,18,1,0,0,0,0,1,0
300,36,8964,3,12,0,0,0,0,0,1,1
2499,56,56940,1,18,1,0,0,0,0,1,1
8499,34,35118,7,15,0,1,0,0,0,1,1
-9168,41,14484,3,12,0,1,0,0,0,0,1
-5000,50,12240,2,12,0,0,0,1,1,0,1
0,27,18156,4,12,0,1,1,0,0,0,0
1799,44,23787,5,13,0,1,0,0,0,0,1
27000,37,66303,4,12,1,1,1,1,1,1,1
25,56,24744,2,1,0,1,0,0,0,0,0
-6258,40,50292,4,16,1,1,1,1,1,0,1
849,54,18756,3,12,1,0,0,1,1,0,1
24450,42,35733,5,12,0,1,0,1,1,0,1
-29050,48,16560,2,18,0,0,0,0,0,0,0
26000,42,54456,3,12,0,1,1,1,1,1,1
2600,39,27354,3,18,1,0,0,0,0,1,1
-1000,27,15300,1,12,0,0,0,0,0,0,0
62149,49,60069,4,12,0,1,0,1,1,1,1
-1840,33,42408,3,15,0,1,1,1,0,0,1
477,41,14481,4,13,0,0,0,0,0,0,0
174232,44,138942,4,16,0,1,1,1,1,1,1
106825,42,113076,4,17,0,1,0,1,1,1,1
47000,56,91692,2,12,0,1,1,0,0,0,1
-600,55,7989,2,11,0,0,0,0,0,0,1
1820,54,7923,1,11,0,0,0,0,0,0,1
14299,48,41565,2,14,0,1,1,1,0,0,1
4730,44,53844,4,12,1,1,1,1,0,1,1
-665,33,58878,6,12,1,1,1,0,0,0,1
79400,53,110643,2,12,1,1,1,1,1,1,1
33700,54,53862,3,18,0,1,1,1,0,0,1
-13115,30,25533,6,14,0,1,0,1,0,0,0
37599,56,55503,3,14,1,1,1,1,1,0,1
-4609,31,30636,4,18,0,1,0,1,1,1,1
-550,30,17349,1,18,0,0,0,0,0,0,0
6150,34,62616,4,16,0,1,1,1,0,0,1
14775,45,58758,2,14,0,1,1,1,1,0,1
-32887,35,57156,4,12,0,1,1,0,0,0,1
2084,38,12384,4,13,0,1,0,0,0,0,1
-2910,50,24114,6,11,0,1,0,1,1,0,0
-3300,32,27960,1,12,0,0,0,0,0,0,0
5980,59,64956,3,18,0,1,1,0,0,1,1
-300,49,18975,2,12,1,0,0,0,0,0,1
0,46,44922,2,12,0,1,1,1,1,0,1
275,33,45624,5,12,0,1,0,1,1,1,1
500,31,40860,2,18,0,1,0,0,0,0,0
110,28,41130,2,14,0,1,1,0,0,0,1
-12900,34,29250,1,18,0,0,0,0,0,0,1
-900,43,36612,2,14,1,1,1,1,0,0,1
87996,49,79023,4,18,1,1,1,0,0,1,1
10734,39,62025,4,12,0,1,1,1,1,0,1
5860,62,58680,2,13,0,1,1,1,1,0,1
-3400,54,22287,2,8,0,1,0,1,1,0,1
-400,30,30000,2,14,0,1,0,0,0,0,0
-17300,49,33567,3,12,0,1,0,0,0,0,1
-2797,39,13512,3,12,1,1,1,0,0,0,1
100,26,15906,4,12,0,0,0,0,0,0,1
400,48,33921,2,12,0,0,0,0,0,0,1
